customer_id,order_month,previous_order_month
C0351,2025-11,2025-07
C0351,2026-05,2025-11
C0352,2026-08,2026-04
C0353,2025-06,2025-05
C0353,2025-08,2025-06
C0354,2025-11,2025-07
C0354,2026-03,2025-11
C0354,2026-07,2026-03
C0355,2025-11,2025-06
C0355,2025-12,2025-11
C0358,2026-08,2026-03
C0360,2025-09,2025-05
C0360,2026-07,2025-09
C0361,2025-10,2025-05
C0361,2026-07,2025-10
C0363,2025-12,2025-11
C0363,2026-01,2025-12
C0363,2026-02,2026-01
C0363,2026-07,2026-02
C0364,2026-01,2025-05
C0366,2025-06,2025-05
C0366,2025-09,2025-06
C0366,2026-02,2025-09
C0367,2026-03,2025-11
C0371,2025-06,2025-05
C0371,2025-11,2025-06
C0371,2026-06,2025-11
C0378,2025-10,2025-09
C0378,2026-05,2025-10
C0378,2026-08,2026-05
C0381,2025-11,2025-06
C0381,2025-12,2025-11
C0381,2026-06,2025-12
C0381,2026-08,2026-06
C0382,2026-04,2025-12
C0384,2026-06,2025-09
C0386,2026-05,2025-07
C0387,2025-11,2025-07
C0387,2025-12,2025-11
C0388,2026-03,2025-07
C0388,2026-04,2026-03
C0388,2026-05,2026-04
C0388,2026-06,2026-05
C0389,2026-02,2025-08
C0392,2025-12,2025-07
C0392,2026-04,2025-12
C0394,2026-02,2025-09
C0397,2025-11,2025-08
C0397,2026-04,2025-11
C0398,2026-05,2025-07
C0399,2026-02,2025-12
C0399,2026-03,2026-02
C0401,2025-10,2025-06
C0401,2026-07,2025-10
C0402,2025-09,2025-06
C0403,2026-03,2025-12
C0406,2026-07,2025-12
C0409,2026-08,2026-06
C0410,2025-11,2025-05
C0410,2026-03,2025-11
C0411,2026-06,2026-01
C0412,2025-10,2025-09
C0415,2026-02,2025-12
C0416,2026-01,2025-06
C0416,2026-04,2026-01
C0418,2025-09,2025-08
C0421,2026-07,2026-02
C0421,2026-08,2026-07
C0424,2025-09,2025-08
C0424,2026-05,2025-09
C0426,2026-02,2025-12
C0429,2025-11,2025-10
C0429,2026-03,2025-11
C0429,2026-07,2026-03
C0433,2025-07,2025-05
C0433,2026-01,2025-07
C0435,2025-07,2025-05
C0435,2025-10,2025-07
C0435,2025-11,2025-10
C0435,2026-05,2025-11
C0436,2025-11,2025-09
C0436,2026-01,2025-11
C0436,2026-04,2026-01
C0437,2026-02,2025-11
C0438,2026-01,2025-08
C0438,2026-06,2026-01
C0439,2025-09,2025-06
C0439,2026-02,2025-09
C0439,2026-05,2026-02
C0440,2026-04,2025-05
C0441,2025-07,2025-06
C0441,2025-08,2025-07
C0441,2026-03,2025-08
C0442,2026-03,2025-09
C0443,2025-10,2025-07
C0444,2025-09,2025-07
C0444,2025-10,2025-09
C0444,2026-04,2025-10
C0445,2025-12,2025-06
C0445,2026-07,2025-12
C0447,2026-01,2025-06
C0447,2026-05,2026-01
C0448,2026-04,2025-09
C0448,2026-06,2026-04
C0449,2026-03,2026-01
C0451,2026-07,2026-05
C0453,2025-08,2025-07
C0453,2025-11,2025-08
C0453,2025-12,2025-11
C0453,2026-01,2025-12
C0455,2026-06,2025-12
C0456,2026-01,2025-10
C0456,2026-02,2026-01
C0457,2025-06,2025-05
C0457,2025-07,2025-06
C0459,2025-10,2025-08
C0459,2026-04,2025-10
C0460,2026-02,2025-06
C0460,2026-04,2026-02
C0461,2025-07,2025-06
C0461,2025-08,2025-07
C0462,2026-03,2025-08
C0463,2025-06,2025-05
C0463,2025-07,2025-06
C0464,2025-07,2025-06
C0464,2026-01,2025-07
C0464,2026-07,2026-01
C0465,2026-07,2025-06
C0468,2025-08,2025-07
C0469,2026-06,2026-01
C0470,2025-08,2025-07
C0470,2026-01,2025-08
C0472,2026-05,2025-06
C0475,2026-03,2025-05
C0476,2025-10,2025-07
C0476,2026-01,2025-10
C0481,2025-12,2025-09
C0481,2026-03,2025-12
C0484,2026-05,2026-02
C0485,2025-07,2025-05
C0485,2025-09,2025-07
C0485,2025-10,2025-09
C0485,2026-02,2025-10
C0485,2026-06,2026-02
C0486,2025-12,2025-09
C0486,2026-05,2025-12
C0488,2025-09,2025-06
C0488,2026-02,2025-09
C0488,2026-04,2026-02
C0491,2025-09,2025-05
C0491,2025-12,2025-09
C0493,2026-07,2025-10
C0494,2026-01,2025-07
C0494,2026-04,2026-01
C0495,2025-10,2025-09
C0497,2026-03,2026-02
C0499,2025-08,2025-07
C0500,2025-08,2025-06
C0500,2026-03,2025-08
