product_id,product_name,category,subcategory,cost_price
P0076,Headphones,Electronics,Electronics Products,2556.27
P0077,Table,Home,Home Products,265.55
P0078,Laptop,Electronics,Electronics Products,656.74
P0079,Comics,Books,Books Products,1348.99
P0080,Novel,Books,Books Products,1821.77
P0081,Jacket,Clothing,Clothing Products,3162.25
P0082,Chair,Home,Home Products,4566.19
P0083,Shoes,Clothing,Clothing Products,1823.44
P0084,Keyboard,Electronics,Electronics Products,1040.3
P0085,Textbook,Books,Books Products,528.82
P0086,Shoes,Clothing,Clothing Products,2188.76
P0087,Laptop,Electronics,Electronics Products,1999.02
P0088,Jacket,Clothing,Clothing Products,984.13
P0089,Camera,Electronics,Electronics Products,3565.51
P0090,T-Shirt,Clothing,Clothing Products,2710.54
P0091,Dictionary,Books,Books Products,337.59
P0092,Mobile,Electronics,Electronics Products,1892.49
P0093,Jeans,Clothing,Clothing Products,152.23
P0094,Laptop,Electronics,Electronics Products,2165.87
P0095,Dictionary,Books,Books Products,1226.13
P0096,Chair,Home,Home Products,869.54
P0097,Chair,Home,Home Products,2250.13
P0098,Laptop,Electronics,Electronics Products,284.64
P0099,Dictionary,Books,Books Products,1871.2
P0100,Biography,Books,Books Products,1737.17
P0101,Cushion,Home,Home Products,2055.16
P0102,Lamp,Home,Home Products,4151.25
P0103,Camera,Electronics,Electronics Products,3683.22
P0104,Headphones,Electronics,Electronics Products,4048.27
P0105,Dictionary,Books,Books Products,2931.24
P0106,Headphones,Electronics,Electronics Products,3745.38
P0107,Mobile,Electronics,Electronics Products,4467.16
P0108,Jeans,Clothing,Clothing Products,448.96
P0109,Mobile,Electronics,Electronics Products,4175.31
P0110,Lamp,Home,Home Products,4790.11
P0111,Camera,Electronics,Electronics Products,1431.42
P0112,Biography,Books,Books Products,582.51
P0113,Novel,Books,Books Products,734.63
P0114,Jacket,Clothing,Clothing Products,1253.52
P0115,Curtains,Home,Home Products,793.6
P0116,Jeans,Clothing,Clothing Products,3726.57
P0117,Comics,Books,Books Products,3518.4
P0118,Dictionary,Books,Books Products,4671.77
P0119,Headphones,Electronics,Electronics Products,3865.02
P0120,Textbook,Books,Books Products,3928.29
P0121,Keyboard,Electronics,Electronics Products,2045.34
P0122,Laptop,Electronics,Electronics Products,4137.34
P0123,Textbook,Books,Books Products,395.74
P0124,Novel,Books,Books Products,2666.59
P0125,Jeans,Clothing,Clothing Products,4064.16
P0126,Chair,Home,Home Products,265.93
P0127,Comics,Books,Books Products,2589.07
P0128,Mobile,Electronics,Electronics Products,2639.42
P0129,Camera,Electronics,Electronics Products,4702.47
P0130,T-Shirt,Clothing,Clothing Products,314.23
P0131,Chair,Home,Home Products,1030.43
P0132,Jacket,Clothing,Clothing Products,2598.25
P0133,Headphones,Electronics,Electronics Products,2720.52
P0134,Lamp,Home,Home Products,2439.03
P0135,Lamp,Home,Home Products,3070.35
P0136,Keyboard,Electronics,Electronics Products,1519.95
P0137,Camera,Electronics,Electronics Products,4707.16
P0138,Headphones,Electronics,Electronics Products,3851.81
P0139,Cushion,Home,Home Products,4270.43
P0140,Dress,Clothing,Clothing Products,1927.69
P0141,Jacket,Clothing,Clothing Products,1726.05
P0142,T-Shirt,Clothing,Clothing Products,2103.86
P0143,Cushion,Home,Home Products,3197.11
P0144,Jeans,Clothing,Clothing Products,332.09
P0145,Biography,Books,Books Products,525.08
P0146,Novel,Books,Books Products,3153.34
P0147,Camera,Electronics,Electronics Products,819.52
P0148,Curtains,Home,Home Products,333.18
P0149,Camera,Electronics,Electronics Products,4053.44
P0150,Mobile,Electronics,Electronics Products,2318.25
P0151,Novel,Books,Books Products,2011.01
P0152,Keyboard,Electronics,Electronics Products,3375.94
P0153,Jeans,Clothing,Clothing Products,2259.29
P0154,Table,Home,Home Products,3536.21
P0155,Novel,Books,Books Products,4571.41
P0156,Jeans,Clothing,Clothing Products,1730.93
P0157,Shoes,Clothing,Clothing Products,4788.05
P0158,Novel,Books,Books Products,4204.13
P0159,Headphones,Electronics,Electronics Products,706.65
P0160,Keyboard,Electronics,Electronics Products,4702.98
P0161,Laptop,Electronics,Electronics Products,2678.78
P0162,Textbook,Books,Books Products,167.09
P0163,Dictionary,Books,Books Products,481.68
P0164,Comics,Books,Books Products,713.61
P0165,Dress,Clothing,Clothing Products,633.11
P0166,Curtains,Home,Home Products,1285.88
P0167,Headphones,Electronics,Electronics Products,4109.84
P0168,Dress,Clothing,Clothing Products,1470.12
P0169,Camera,Electronics,Electronics Products,3833.22
P0170,Table,Home,Home Products,3166.64
P0171,Biography,Books,Books Products,3293.18
P0172,Lamp,Home,Home Products,4963.55
P0173,Jacket,Clothing,Clothing Products,528.97
P0174,Chair,Home,Home Products,1827.05
P0175,Table,Home,Home Products,231.32
P0176,Mobile,Electronics,Electronics Products,3070.79
P0177,Headphones,Electronics,Electronics Products,2308.03
P0178,Novel,Books,Books Products,1132.41
P0179,Biography,Books,Books Products,286.69
P0180,Cushion,Home,Home Products,637.01
P0181,Lamp,Home,Home Products,4723.69
P0182,Laptop,Electronics,Electronics Products,985.93
P0183,Camera,Electronics,Electronics Products,355.87
P0184,Camera,Electronics,Electronics Products,3069.98
P0185,Chair,Home,Home Products,2295.83
P0186,Shoes,Clothing,Clothing Products,4552.61
P0187,T-Shirt,Clothing,Clothing Products,2099.91
P0188,Mobile,Electronics,Electronics Products,525.12
P0189,Table,Home,Home Products,2696.61
P0190,Dictionary,Books,Books Products,3812.92
P0191,Headphones,Electronics,Electronics Products,4615.31
P0192,Dictionary,Books,Books Products,991.79
P0193,Novel,Books,Books Products,3037.92
P0194,Mobile,Electronics,Electronics Products,294.36
P0195,Laptop,Electronics,Electronics Products,3851.05
P0196,Jacket,Clothing,Clothing Products,1197.29
P0197,T-Shirt,Clothing,Clothing Products,4248.77
P0198,Novel,Books,Books Products,3965.27
P0199,Jacket,Clothing,Clothing Products,2183.18
P0200,Curtains,Home,Home Products,4752.37
P0201,Curtains,Home,Home Products,4117.56
P0202,Headphones,Electronics,Electronics Products,874.39
P0203,Jacket,Clothing,Clothing Products,3634.14
P0204,Cushion,Home,Home Products,3793.6
P0205,Jeans,Clothing,Clothing Products,4359.93
P0206,Jeans,Clothing,Clothing Products,2962.46
P0207,Novel,Books,Books Products,4245.44
P0208,Dictionary,Books,Books Products,1869.82
P0209,Keyboard,Electronics,Electronics Products,2476.76
P0210,T-Shirt,Clothing,Clothing Products,4481.99
P0211,Jacket,Clothing,Clothing Products,1359.7
P0212,Cushion,Home,Home Products,3741.45
P0213,Cushion,Home,Home Products,2923.62
P0214,Curtains,Home,Home Products,3432.89
P0215,T-Shirt,Clothing,Clothing Products,4682.37
P0216,Biography,Books,Books Products,3386.6
P0217,Curtains,Home,Home Products,1523.09
P0218,Laptop,Electronics,Electronics Products,4955.37
P0219,Novel,Books,Books Products,4034.7
P0220,Shoes,Clothing,Clothing Products,3544.85
P0221,Chair,Home,Home Products,970.39
P0222,Mobile,Electronics,Electronics Products,3183.72
P0223,Shoes,Clothing,Clothing Products,1814.22
P0224,Mobile,Electronics,Electronics Products,1151.67
P0225,T-Shirt,Clothing,Clothing Products,3825.77
P0226,Dress,Clothing,Clothing Products,1401.55
P0227,Jacket,Clothing,Clothing Products,4856.82
P0228,Camera,Electronics,Electronics Products,4754.03
P0229,Comics,Books,Books Products,3866.75
P0230,Biography,Books,Books Products,731.87
P0231,Mobile,Electronics,Electronics Products,3639.16
P0232,T-Shirt,Clothing,Clothing Products,2875.85
P0233,T-Shirt,Clothing,Clothing Products,3380.04
P0234,Textbook,Books,Books Products,4176.37
P0235,Shoes,Clothing,Clothing Products,1010.13
P0236,Dress,Clothing,Clothing Products,4018.05
P0237,Table,Home,Home Products,3757.27
P0238,Textbook,Books,Books Products,1656.08
P0239,Lamp,Home,Home Products,2076.61
P0240,Laptop,Electronics,Electronics Products,1842.84
P0241,Cushion,Home,Home Products,3731.51
P0242,Chair,Home,Home Products,3798.46
P0243,Camera,Electronics,Electronics Products,965.94
P0244,Laptop,Electronics,Electronics Products,2299.93
P0245,Headphones,Electronics,Electronics Products,2920.28
P0246,Dictionary,Books,Books Products,4955.77
P0247,Comics,Books,Books Products,1067.24
P0248,Textbook,Books,Books Products,321.12
P0249,Comics,Books,Books Products,2897.81
P0250,Chair,Home,Home Products,724.41
P0251,T-Shirt,Clothing,Clothing Products,4305.52
P0252,Table,Home,Home Products,1561.2
P0253,Mobile,Electronics,Electronics Products,750.27
P0254,Camera,Electronics,Electronics Products,2946.82
P0255,Shoes,Clothing,Clothing Products,4242.8
P0256,Novel,Books,Books Products,3711.93
P0257,Biography,Books,Books Products,2623.63
P0258,Jeans,Clothing,Clothing Products,3977.62
P0259,Lamp,Home,Home Products,2854.1
P0260,Dress,Clothing,Clothing Products,4935.59
P0261,Comics,Books,Books Products,2500.92
P0262,Chair,Home,Home Products,2157.65
P0263,Mobile,Electronics,Electronics Products,1631.92
P0264,Dictionary,Books,Books Products,3327.87
P0265,Cushion,Home,Home Products,3631.13
P0266,Shoes,Clothing,Clothing Products,827.68
P0267,Shoes,Clothing,Clothing Products,4086.01
P0268,T-Shirt,Clothing,Clothing Products,3806.08
P0269,Table,Home,Home Products,4870.0
P0270,Headphones,Electronics,Electronics Products,1613.97
P0271,Dress,Clothing,Clothing Products,3112.26
P0272,Dictionary,Books,Books Products,2141.05
P0273,Chair,Home,Home Products,3668.9
P0274,Textbook,Books,Books Products,558.66
P0275,Keyboard,Electronics,Electronics Products,4676.63
P0276,Chair,Home,Home Products,444.8
P0277,Mobile,Electronics,Electronics Products,4296.98
P0278,Cushion,Home,Home Products,724.01
P0279,Novel,Books,Books Products,2183.9
P0280,Dress,Clothing,Clothing Products,3483.36
P0281,Biography,Books,Books Products,4407.18
P0282,Curtains,Home,Home Products,1518.27
P0283,Mobile,Electronics,Electronics Products,3221.4
P0284,Dress,Clothing,Clothing Products,2148.29
P0285,T-Shirt,Clothing,Clothing Products,382.41
P0286,Mobile,Electronics,Electronics Products,4659.96
P0287,Biography,Books,Books Products,3672.99
P0288,Table,Home,Home Products,3311.3
P0289,Headphones,Electronics,Electronics Products,3728.7
P0290,Laptop,Electronics,Electronics Products,2572.04
P0291,Keyboard,Electronics,Electronics Products,4254.72
P0292,Mobile,Electronics,Electronics Products,2326.12
P0293,Jacket,Clothing,Clothing Products,3719.45
P0294,Curtains,Home,Home Products,4531.45
P0295,Keyboard,Electronics,Electronics Products,250.84
P0296,Comics,Books,Books Products,860.6
P0297,Cushion,Home,Home Products,921.7
P0298,Lamp,Home,Home Products,1246.33
P0299,T-Shirt,Clothing,Clothing Products,123.72
P0300,Biography,Books,Books Products,810.59
P0301,Dictionary,Books,Books Products,4030.31
P0302,Shoes,Clothing,Clothing Products,989.91
P0303,Keyboard,Electronics,Electronics Products,707.67
P0304,Camera,Electronics,Electronics Products,1745.42
P0305,Shoes,Clothing,Clothing Products,1355.28
P0306,Camera,Electronics,Electronics Products,2614.91
P0307,Dress,Clothing,Clothing Products,1123.13
P0308,Dress,Clothing,Clothing Products,860.67
P0309,Headphones,Electronics,Electronics Products,4236.65
P0310,Keyboard,Electronics,Electronics Products,1880.5
P0311,Jeans,Clothing,Clothing Products,1590.54
P0312,Dress,Clothing,Clothing Products,362.71
P0313,Keyboard,Electronics,Electronics Products,2273.98
P0314,Curtains,Home,Home Products,4824.54
P0315,Laptop,Electronics,Electronics Products,1907.7
P0316,Chair,Home,Home Products,4669.58
P0317,Keyboard,Electronics,Electronics Products,4348.98
P0318,Biography,Books,Books Products,4412.62
P0319,Cushion,Home,Home Products,3851.36
P0320,Jacket,Clothing,Clothing Products,2013.0
P0321,Keyboard,Electronics,Electronics Products,2324.0
P0322,Headphones,Electronics,Electronics Products,4284.38
P0323,T-Shirt,Clothing,Clothing Products,1441.76
P0324,Dress,Clothing,Clothing Products,1405.29
P0325,Keyboard,Electronics,Electronics Products,4110.02
P0326,Dictionary,Books,Books Products,1587.45
P0327,Jacket,Clothing,Clothing Products,3628.18
P0328,Laptop,Electronics,Electronics Products,871.32
P0329,Keyboard,Electronics,Electronics Products,4211.62
P0330,Dictionary,Books,Books Products,955.93
P0331,Shoes,Clothing,Clothing Products,4968.71
P0332,Headphones,Electronics,Electronics Products,2937.2
P0333,Novel,Books,Books Products,318.54
P0334,Lamp,Home,Home Products,1994.88
P0335,Comics,Books,Books Products,370.81
P0336,Headphones,Electronics,Electronics Products,1980.03
P0337,Shoes,Clothing,Clothing Products,4431.89
P0338,Lamp,Home,Home Products,605.94
P0339,Table,Home,Home Products,941.22
P0340,Table,Home,Home Products,2565.21
P0341,Dress,Clothing,Clothing Products,2954.38
P0342,Table,Home,Home Products,2078.73
P0343,T-Shirt,Clothing,Clothing Products,4682.98
P0344,Shoes,Clothing,Clothing Products,180.39
P0345,Jeans,Clothing,Clothing Products,1082.82
P0346,Headphones,Electronics,Electronics Products,3870.08
P0347,Curtains,Home,Home Products,2553.54
P0348,Mobile,Electronics,Electronics Products,3313.72
P0349,Jeans,Clothing,Clothing Products,512.26
P0350,Textbook,Books,Books Products,1967.64
P0351,Dress,Clothing,Clothing Products,4107.4
P0352,Dictionary,Books,Books Products,4410.89
P0353,Headphones,Electronics,Electronics Products,2301.34
P0354,Shoes,Clothing,Clothing Products,3102.97
P0355,Comics,Books,Books Products,3664.22
P0356,Textbook,Books,Books Products,1952.99
P0357,Keyboard,Electronics,Electronics Products,4404.87
P0358,Keyboard,Electronics,Electronics Products,4326.11
P0359,Mobile,Electronics,Electronics Products,4083.47
P0360,Dictionary,Books,Books Products,2036.67
P0361,Jeans,Clothing,Clothing Products,117.62
P0362,Comics,Books,Books Products,1226.63
P0363,Headphones,Electronics,Electronics Products,3517.06
P0364,Chair,Home,Home Products,3974.87
P0365,Dress,Clothing,Clothing Products,1386.43
P0366,Mobile,Electronics,Electronics Products,3143.34
P0367,Cushion,Home,Home Products,2419.84
P0368,Keyboard,Electronics,Electronics Products,280.84
P0369,Jeans,Clothing,Clothing Products,3996.85
P0370,Mobile,Electronics,Electronics Products,2197.27
P0371,Chair,Home,Home Products,1169.16
P0372,Camera,Electronics,Electronics Products,4012.68
P0373,Laptop,Electronics,Electronics Products,1904.34
P0374,Cushion,Home,Home Products,4453.27
P0375,Cushion,Home,Home Products,487.95
P0376,Camera,Electronics,Electronics Products,1972.52
P0377,Lamp,Home,Home Products,446.99
P0378,Mobile,Electronics,Electronics Products,1786.81
P0379,Mobile,Electronics,Electronics Products,865.2
P0380,Keyboard,Electronics,Electronics Products,290.73
P0381,Keyboard,Electronics,Electronics Products,3307.84
P0382,Dictionary,Books,Books Products,4957.72
P0383,Mobile,Electronics,Electronics Products,947.61
P0384,Jeans,Clothing,Clothing Products,348.59
P0385,Mobile,Electronics,Electronics Products,178.06
P0386,Biography,Books,Books Products,1205.48
P0387,T-Shirt,Clothing,Clothing Products,4035.39
P0388,Comics,Books,Books Products,2738.46
P0389,Novel,Books,Books Products,1746.16
P0390,Headphones,Electronics,Electronics Products,2990.86
P0391,Dictionary,Books,Books Products,4425.21
P0392,Headphones,Electronics,Electronics Products,2921.52
P0393,Lamp,Home,Home Products,350.16
P0394,T-Shirt,Clothing,Clothing Products,1183.55
P0395,Shoes,Clothing,Clothing Products,4830.38
P0396,Textbook,Books,Books Products,1052.77
P0397,Shoes,Clothing,Clothing Products,2386.97
P0398,Biography,Books,Books Products,2725.36
P0399,Biography,Books,Books Products,3415.7
P0400,Comics,Books,Books Products,369.42
P0401,Camera,Electronics,Electronics Products,1836.68
P0402,Biography,Books,Books Products,1609.18
P0403,Jacket,Clothing,Clothing Products,4481.4
P0404,Dictionary,Books,Books Products,2422.8
P0405,Curtains,Home,Home Products,3216.21
P0406,Camera,Electronics,Electronics Products,2840.77
P0407,Jacket,Clothing,Clothing Products,2920.58
P0408,Camera,Electronics,Electronics Products,4158.53
P0409,Shoes,Clothing,Clothing Products,3368.23
P0410,Chair,Home,Home Products,3101.0
P0411,Jacket,Clothing,Clothing Products,2367.73
P0412,Novel,Books,Books Products,136.63
P0413,Headphones,Electronics,Electronics Products,983.78
P0414,Headphones,Electronics,Electronics Products,4785.17
P0415,Laptop,Electronics,Electronics Products,1621.5
P0416,Novel,Books,Books Products,4385.63
P0417,Camera,Electronics,Electronics Products,3325.68
P0418,Keyboard,Electronics,Electronics Products,668.64
P0419,Comics,Books,Books Products,4781.23
P0420,Headphones,Electronics,Electronics Products,2144.91
P0421,Comics,Books,Books Products,3335.61
P0422,Cushion,Home,Home Products,3191.53
P0423,Laptop,Electronics,Electronics Products,3207.29
P0424,Chair,Home,Home Products,3746.52
P0425,Jeans,Clothing,Clothing Products,1044.24
P0426,Laptop,Electronics,Electronics Products,2085.37
P0427,Shoes,Clothing,Clothing Products,1140.58
P0428,Dictionary,Books,Books Products,911.09
P0429,Chair,Home,Home Products,1268.43
P0430,Camera,Electronics,Electronics Products,605.5
P0431,Headphones,Electronics,Electronics Products,2490.45
P0432,Camera,Electronics,Electronics Products,2318.8
P0433,Camera,Electronics,Electronics Products,2845.43
P0434,Biography,Books,Books Products,219.94
P0435,Camera,Electronics,Electronics Products,3391.52
P0436,Cushion,Home,Home Products,3174.68
P0437,Dictionary,Books,Books Products,3083.82
P0438,Keyboard,Electronics,Electronics Products,1202.94
P0439,Headphones,Electronics,Electronics Products,4994.82
P0440,Keyboard,Electronics,Electronics Products,4891.75
P0441,Novel,Books,Books Products,2479.28
P0442,Biography,Books,Books Products,2581.07
P0443,Headphones,Electronics,Electronics Products,1366.19
P0444,Camera,Electronics,Electronics Products,1799.21
P0445,Comics,Books,Books Products,818.4
P0446,Dictionary,Books,Books Products,666.74
P0447,Curtains,Home,Home Products,3073.23
P0448,Textbook,Books,Books Products,4816.04
P0449,Novel,Books,Books Products,2372.28
P0450,Chair,Home,Home Products,1955.92
P0451,Table,Home,Home Products,3945.42
P0452,T-Shirt,Clothing,Clothing Products,4848.71
P0453,Chair,Home,Home Products,1375.94
P0454,Table,Home,Home Products,198.14
P0455,Camera,Electronics,Electronics Products,1446.84
P0456,Cushion,Home,Home Products,3351.44
P0457,Dictionary,Books,Books Products,3375.92
P0458,Dress,Clothing,Clothing Products,1378.1
P0459,Mobile,Electronics,Electronics Products,4645.8
P0460,Novel,Books,Books Products,842.04
P0461,Lamp,Home,Home Products,2056.49
P0462,Keyboard,Electronics,Electronics Products,3665.45
P0463,Table,Home,Home Products,3213.85
P0464,Chair,Home,Home Products,991.31
P0465,Shoes,Clothing,Clothing Products,4285.74
P0466,Comics,Books,Books Products,3852.99
P0467,Headphones,Electronics,Electronics Products,4185.97
P0468,Lamp,Home,Home Products,4412.37
P0469,Shoes,Clothing,Clothing Products,336.4
P0470,Dictionary,Books,Books Products,3842.75
P0471,Chair,Home,Home Products,1434.87
P0472,Table,Home,Home Products,3804.97
P0473,Biography,Books,Books Products,3300.93
P0474,Shoes,Clothing,Clothing Products,1647.41
P0475,Novel,Books,Books Products,3378.07
P0476,T-Shirt,Clothing,Clothing Products,2590.0
P0477,Mobile,Electronics,Electronics Products,3984.74
P0478,Jeans,Clothing,Clothing Products,626.29
P0479,Curtains,Home,Home Products,4307.41
P0480,T-Shirt,Clothing,Clothing Products,4697.96
P0481,Shoes,Clothing,Clothing Products,875.39
P0482,Dictionary,Books,Books Products,3978.02
P0483,Keyboard,Electronics,Electronics Products,3663.62
P0484,Chair,Home,Home Products,286.71
P0485,Keyboard,Electronics,Electronics Products,113.88
P0486,Chair,Home,Home Products,4528.36
P0487,Lamp,Home,Home Products,3364.77
P0488,Camera,Electronics,Electronics Products,4237.46
P0489,Keyboard,Electronics,Electronics Products,3497.44
P0490,Jeans,Clothing,Clothing Products,1794.62
P0491,Textbook,Books,Books Products,3468.71
P0492,Chair,Home,Home Products,2158.6
P0493,Biography,Books,Books Products,813.44
P0494,Novel,Books,Books Products,923.01
P0495,Mobile,Electronics,Electronics Products,4658.36
P0496,Camera,Electronics,Electronics Products,4578.27
P0497,T-Shirt,Clothing,Clothing Products,2501.43
P0498,Jacket,Clothing,Clothing Products,1909.53
P0499,Lamp,Home,Home Products,4593.77
P0500,Headphones,Electronics,Electronics Products,3487.3
