item_id,order_id,product_id,quantity,unit_price,discount_percent
I00110,O00727,P0456,4,4662.56,19.64
I00111,O00062,P0244,4,5884.71,82.05
I00112,O00752,P0180,3,1068.65,85.0
I00113,O00674,P0191,1,5808.5,56.25
I00114,O00745,P0222,3,3712.51,50.91
I00115,O00386,P0179,1,3162.28,93.75
I00116,O00607,P0293,1,6879.98,17.51
I00117,O00343,P0120,1,2100.59,62.71
I00118,O00139,P0290,5,4586.75,83.05
I00119,O00915,P0105,4,4044.58,72.57
I00120,O00950,P0216,3,901.01,36.7
I00121,O00665,P0228,4,5453.06,97.94
I00122,O00078,P0103,1,2366.56,40.4
I00123,O00014,P0097,1,5231.57,6.73
I00124,O00655,P0053,5,7873.47,4.55
I00125,O00491,P0074,4,5447.25,11.94
I00126,O00175,P0054,3,8664.84,25.12
I00127,O00560,P0067,4,1854.52,17.87
I00128,O00840,P0095,2,9108.33,72.29
I00129,O00728,P0125,4,458.3,95.3
I00130,O00717,P0177,5,2234.05,95.87
I00131,O00013,P0296,1,3897.73,82.11
I00132,O00518,P0448,-2,2422.96,46.03
I00133,O00226,P0148,5,6122.29,54.22
I00134,O00184,P0326,1,4527.78,56.69
I00135,O00289,P0270,1,4647.19,40.29
I00136,O00777,P0386,3,5776.08,90.67
I00137,O00847,P0435,3,1890.15,3.87
I00138,O00046,P0324,5,3675.86,28.56
I00139,O00680,P0364,5,1440.45,18.81
I00140,O00702,P0270,5,4916.36,31.14
I00141,O00059,P0132,1,7046.7,4.48
I00142,O00325,P0073,5,8415.2,6.77
I00143,O00598,P0414,5,4162.95,61.0
I00144,O00447,P0403,1,1174.38,48.96
I00145,O00831,P0127,2,3333.61,50.92
I00146,O00104,P0049,1,5964.02,23.99
I00147,O00947,P0317,3,2298.63,90.84
I00148,O00744,P0271,3,5616.17,70.27
I00149,O00710,P0038,3,5882.75,53.63
I00150,O00677,P0235,1,905.14,71.28
I00151,O00790,P0213,5,4982.93,58.52
I00152,O00523,P0218,4,2815.71,42.07
I00153,O00691,P0336,2,7145.13,10.54
I00154,O00845,P0038,2,278.24,92.78
I00155,O00104,P0406,3,588.51,97.1
I00156,O00604,P0095,1,1322.43,28.04
I00157,O00536,P0211,4,5410.25,21.71
I00158,O00568,P0414,5,7689.37,55.07
I00159,O00299,P0292,3,8095.67,10.54
I00160,O00638,P0031,4,2928.65,51.56
I00161,O00435,P0182,1,9243.74,92.87
I00162,O00938,P0170,5,5311.38,44.81
I00163,O00615,P0177,5,4429.83,37.7
I00164,O00364,P0153,1,8708.08,1.88
I00165,O00023,P0008,-5,8001.5,27.36
I00166,O00043,P0338,3,481.33,8.05
I00167,O00156,P0345,3,9699.44,48.73
I00168,O00864,P0334,1,9424.35,93.62
I00169,O00906,P0402,4,3986.91,82.33
I00170,O00438,P0305,5,3739.97,23.36
I00171,O00370,P0351,5,2031.96,60.99
I00172,O00689,P0387,3,206.35,40.46
I00173,O00072,P0113,3,3759.05,14.91
I00174,O00598,P0073,5,686.96,83.58
I00175,O00294,P0049,2,7088.58,67.96
I00176,O00757,P0009,2,1682.21,59.67
I00177,O00639,P0266,5,5471.11,92.33
I00178,O00914,P0327,4,3172.75,64.17
I00179,O00451,P0217,2,2317.28,84.18
I00180,O00641,P0387,2,6268.59,80.67
I00181,O00759,P0431,1,1773.57,64.39
I00182,O00466,P0202,5,6658.91,72.42
I00183,O00260,P0025,2,9712.62,58.64
I00184,O00425,P0500,4,4290.64,41.7
I00185,O00040,P0343,2,9749.87,6.07
I00186,O00460,P0174,4,2700.06,12.13
I00187,O00142,P0091,5,6239.66,3.58
I00188,O00724,P0374,1,7982.31,44.53
I00189,O00824,P0279,5,3028.48,47.17
I00190,O00325,P0342,4,2411.46,63.41
I00191,O00417,P0232,3,1648.01,72.72
I00192,O00178,P0446,3,8130.47,89.0
I00193,O00692,P0316,4,7344.9,63.2
I00194,O00025,P0490,4,2923.31,82.87
I00195,O00110,P0437,4,4503.49,21.87
I00196,O00747,P0151,4,6561.72,17.84
I00197,O00636,P0058,1,6548.54,59.34
I00198,O00485,P0147,-2,5574.44,32.85
I00199,O00568,P0107,1,8691.93,45.18
I00200,O00104,P0009,3,3351.89,49.04
I00201,O00058,P0425,2,3574.02,28.81
I00202,O00457,P0308,1,9610.08,32.94
I00203,O00571,P0451,4,3107.67,76.62
I00204,O00298,P0131,4,3453.46,34.53
I00205,O00794,P0303,4,6335.33,61.08
I00206,O00981,P0384,3,631.3,59.64
I00207,O00589,P0207,5,5415.09,94.41
I00208,O00633,P0416,1,4501.11,99.17
I00209,O00697,P0251,5,9396.37,27.71
I00210,O00062,P0469,1,1108.93,61.57
I00211,O00387,P0114,5,8859.41,25.62
I00212,O00619,P0248,1,779.89,42.87
I00213,O00928,P0356,2,7716.27,63.97
I00214,O00900,P0017,2,853.35,21.92
I00215,O00568,P0496,4,4162.6,0.24
I00216,O00812,P0017,1,5911.71,24.09
I00217,O00517,P0248,2,8624.04,52.96
I00218,O00378,P0137,4,3456.39,97.0
I00219,O00202,P0313,2,2916.99,43.68
I00220,O00792,P0322,1,7679.62,94.45
I00221,O00139,P0481,2,9273.22,8.51
I00222,O00482,P0010,1,8975.05,26.07
I00223,O00128,P0368,4,5523.7,64.57
I00224,O00475,P0083,4,3588.25,22.71
I00225,O00511,P0098,3,8205.39,60.33
I00226,O00237,P0189,5,2912.02,31.96
I00227,O00180,P0385,5,543.06,89.04
I00228,O00122,P0236,3,3747.54,77.97
I00229,O00748,P0229,4,635.5,57.23
I00230,O00926,P0042,4,7890.3,2.68
I00231,O00606,P0202,-3,7813.9,70.56
I00232,O00491,P0243,2,3466.0,85.69
I00233,O00702,P0286,4,4206.17,4.98
I00234,O00992,P0206,5,2190.18,40.19
I00235,O00282,P0476,2,6767.64,6.46
I00236,O00455,P0456,5,6279.49,59.99
I00237,O00639,P0394,5,8540.78,67.32
I00238,O00133,P0163,3,6485.97,80.96
I00239,O00149,P0070,4,4511.89,36.99
I00240,O00093,P0266,4,3363.91,45.19
I00241,O00070,P0332,5,4303.63,15.39
I00242,O00455,P0318,3,5224.09,95.01
I00243,O00525,P0271,3,758.64,74.62
I00244,O00815,P0447,1,4021.08,90.71
I00245,O00339,P0476,1,3910.69,3.39
I00246,O00628,P0149,5,847.2,49.32
I00247,O00554,P0065,3,8850.25,55.63
I00248,O00700,P0446,4,4288.43,15.28
I00249,O00267,P0355,2,4161.28,70.21
I00250,O00889,P0198,2,8366.61,21.2
I00251,O00091,P0314,2,674.15,14.43
I00252,O00341,P0051,5,8682.71,60.74
I00253,O00454,P0110,1,3133.21,63.94
I00254,O00571,P0180,3,4611.84,84.84
I00255,O00099,P0226,1,5294.52,10.79
I00256,O00503,P0134,2,643.19,48.23
I00257,O00192,P0063,5,6276.68,30.75
I00258,O00817,P0481,2,1571.89,68.13
I00259,O00188,P0345,2,3172.72,79.22
I00260,O00514,P0362,2,6765.32,88.65
I00261,O00932,P0275,4,9244.97,8.81
I00262,O00177,P0334,1,5141.08,28.69
I00263,O00803,P0263,2,8012.97,51.43
I00264,O00242,P0274,-2,4578.92,87.44
I00265,O00890,P0018,4,9916.36,11.4
I00266,O00508,P0126,4,8311.61,76.08
I00267,O00277,P0208,2,4795.57,24.96
I00268,O00017,P0115,4,9660.56,33.11
I00269,O00344,P0149,3,1044.1,94.04
I00270,O00041,P0389,2,2392.41,5.41
I00271,O00679,P0310,4,7262.27,68.3
I00272,O00325,P0049,4,8807.94,8.01
I00273,O00892,P0046,3,5810.28,94.67
I00274,O00972,P0182,3,5507.81,53.48
I00275,O00759,P0164,3,3960.16,68.71
I00276,O00204,P0232,1,2436.76,52.58
I00277,O00068,P0072,1,9532.99,86.41
I00278,O00084,P0487,3,5380.33,42.74
I00279,O00433,P0155,2,7031.1,48.36
I00280,O00832,P0148,5,7527.74,98.7
I00281,O00769,P0209,2,4225.97,46.0
I00282,O00903,P0279,1,7262.97,17.51
I00283,O00704,P0353,1,3679.21,61.68
I00284,O00655,P0020,2,4923.45,26.94
I00285,O00945,P0030,3,4087.77,84.67
I00286,O00043,P0057,1,7914.22,19.42
I00287,O00849,P0233,5,6530.57,59.66
I00288,O00741,P0216,4,5935.07,99.64
I00289,O00601,P0450,1,8734.06,61.14
I00290,O00092,P0231,4,7078.94,34.8
I00291,O00968,P0004,4,7136.8,90.14
I00292,O00128,P0127,5,3371.28,79.01
I00293,O00010,P0068,3,1843.03,5.66
I00294,O00163,P0228,1,2811.32,19.03
I00295,O00385,P0236,4,6723.88,39.35
I00296,O00273,P0343,4,9612.55,99.33
I00297,O00960,P0458,-3,9593.28,75.41
I00298,O00339,P0348,5,7741.55,81.05
I00299,O00176,P0332,2,2003.66,38.3
I00300,O00466,P0067,1,711.68,17.36
I00301,O00047,P0350,1,3137.15,81.17
I00302,O00017,P0458,2,6945.64,17.14
I00303,O00382,P0145,4,4883.38,76.87
I00304,O00392,P0023,2,5804.39,37.5
I00305,O00598,P0090,3,7988.36,78.88
I00306,O00133,P0221,2,4582.75,84.56
I00307,O00790,P0470,4,2519.04,97.78
I00308,O00071,P0198,1,9941.86,17.77
I00309,O00726,P0408,5,6768.68,24.23
I00310,O00306,P0181,2,5410.13,81.1
I00311,O00977,P0205,2,2030.36,96.65
I00312,O00600,P0049,3,3891.18,15.61
I00313,O00955,P0179,2,4001.37,30.47
I00314,O00091,P0307,2,1399.52,84.44
I00315,O00336,P0356,2,9806.96,98.68
I00316,O00202,P0136,3,5458.89,89.59
I00317,O00145,P0143,5,7619.97,81.32
I00318,O00258,P0176,2,6406.52,43.93
I00319,O00795,P0336,2,4436.79,60.92
I00320,O00496,P0493,1,5560.81,28.7
I00321,O00251,P0163,3,3092.96,41.47
I00322,O00674,P0131,5,2460.42,11.52
I00323,O00908,P0028,1,6377.16,45.29
I00324,O00793,P0082,4,5441.0,1.7
I00325,O00850,P0011,2,3237.25,15.84
I00326,O00980,P0440,1,8221.42,97.77
I00327,O00410,P0024,2,8040.68,74.18
I00328,O00065,P0423,4,5509.42,53.88
I00329,O00059,P0121,5,5605.92,87.71
I00330,O00489,P0270,-5,6196.65,0.03
I00331,O00335,P0374,3,7061.09,48.1
I00332,O00480,P0158,2,9081.11,60.76
I00333,O00568,P0247,2,7840.4,96.85
I00334,O00321,P0263,4,9505.79,81.36
I00335,O00679,P0006,4,5392.1,33.04
I00336,O00955,P0342,1,3913.5,32.77
I00337,O00148,P0177,3,7989.18,64.01
I00338,O00336,P0306,2,3886.24,96.17
I00339,O00738,P0042,3,3297.51,28.97
I00340,O00751,P0367,5,8030.22,54.24
I00341,O00325,P0418,1,6311.46,52.0
I00342,O00861,P0070,1,7922.67,61.82
I00343,O00617,P0366,1,7994.97,28.71
I00344,O00495,P0358,5,5500.7,3.91
I00345,O00193,P0067,1,4956.15,73.18
I00346,O00942,P0402,1,5740.67,86.27
I00347,O00498,P0438,4,7889.13,36.3
I00348,O00733,P0254,4,8355.78,72.14
I00349,O00256,P0429,1,8378.25,62.27
I00350,O00654,P0142,2,1706.5,13.14
I00351,O00586,P0273,2,5556.45,23.14
I00352,O00352,P0430,5,3221.14,23.65
I00353,O00120,P0254,2,1329.3,99.98
I00354,O00195,P0305,4,6000.05,26.45
I00355,O00234,P0018,2,1058.96,24.78
I00356,O00374,P0006,3,699.49,43.54
I00357,O00722,P0250,4,4392.76,21.64
I00358,O00029,P0272,2,3778.32,41.06
I00359,O00031,P0314,4,2122.1,67.48
I00360,O00922,P0307,4,1669.6,3.61
I00361,O00775,P0070,1,4939.05,72.72
I00362,O00611,P0168,2,3542.77,22.86
I00363,O00233,P0292,-5,2175.09,52.55
I00364,O00191,P0378,3,9617.4,76.31
I00365,O00595,P0120,4,6406.27,51.33
I00366,O00902,P0444,2,3451.79,95.91
I00367,O00061,P0225,4,2825.17,14.46
I00368,O00971,P0362,3,9237.05,78.97
I00369,O00003,P0391,4,7946.37,77.85
I00370,O00751,P0417,4,5075.93,57.8
I00371,O00890,P0343,1,3766.93,98.49
I00372,O00268,P0365,3,3453.18,33.59
I00373,O00419,P0418,5,7155.47,74.22
I00374,O00542,P0169,2,2020.66,40.13
I00375,O00770,P0031,2,5844.5,52.15
I00376,O00544,P0258,3,2257.48,83.17
I00377,O00675,P0229,2,9021.67,42.61
I00378,O00455,P0342,4,7537.0,36.18
I00379,O00342,P0239,1,3846.09,15.92
I00380,O00051,P0432,2,7114.26,46.54
I00381,O00584,P0246,1,2949.44,89.12
I00382,O00028,P0494,4,5076.15,48.65
I00383,O00638,P0328,4,8132.62,2.01
I00384,O00078,P0056,2,1789.65,8.45
I00385,O00664,P0235,4,1361.21,99.46
I00386,O00411,P0425,3,9389.36,9.19
I00387,O00811,P0095,2,2159.69,79.36
I00388,O00743,P0246,5,890.23,56.23
I00389,O00712,P0094,3,2634.28,69.47
I00390,O00414,P0236,5,9716.61,12.88
I00391,O00515,P0341,2,6224.54,9.49
I00392,O00006,P0429,5,2202.53,5.95
I00393,O00239,P0304,4,2361.12,99.97
I00394,O00054,P0090,3,5800.74,80.35
I00395,O00130,P0097,5,6534.49,13.71
I00396,O00003,P0351,-3,4734.18,1.7
I00397,O00674,P0363,3,8971.13,18.93
I00398,O00639,P0286,2,8195.3,23.94
I00399,O00934,P0037,2,5247.66,22.47
I00400,O00191,P0410,5,9075.35,48.86
I00401,O00177,P0025,4,2538.05,84.69
I00402,O00320,P0494,2,6766.68,29.46
I00403,O00415,P0192,1,4272.74,75.63
I00404,O00388,P0179,2,8997.82,23.44
I00405,O00551,P0203,1,8930.03,25.44
I00406,O00910,P0035,5,7009.83,70.65
I00407,O00773,P0223,4,3008.18,4.08
I00408,O00352,P0450,5,7823.76,58.54
I00409,O00290,P0325,4,7045.37,70.09
I00410,O00894,P0064,1,1372.83,79.98
I00411,O00200,P0223,1,7835.67,90.15
I00412,O00142,P0180,1,4432.65,18.0
I00413,O00538,P0094,2,9350.84,50.89
I00414,O00606,P0252,4,3953.54,26.5
I00415,O00270,P0208,3,9459.48,21.13
I00416,O00222,P0164,1,1244.83,96.39
I00417,O00436,P0273,5,1780.83,45.42
I00418,O00175,P0253,5,3575.45,53.65
I00419,O00447,P0222,2,1233.62,56.47
I00420,O00933,P0337,5,3552.25,12.74
I00421,O00511,P0396,2,4063.51,81.01
I00422,O00999,P0449,1,3216.41,44.83
I00423,O00310,P0070,2,5275.6,73.05
I00424,O00171,P0089,4,6345.0,86.45
I00425,O00585,P0063,4,4085.85,43.1
I00426,O00066,P0435,2,7813.47,53.09
I00427,O00487,P0412,3,6838.59,40.32
I00428,O00262,P0347,5,6988.12,65.75
I00429,O00416,P0333,-2,4689.29,27.0
I00430,O00594,P0415,4,1805.83,87.11
I00431,O00543,P0115,4,4318.93,14.8
I00432,O00041,P0292,3,2446.61,55.25
I00433,O00718,P0497,2,3105.81,14.29
I00434,O00007,P0226,2,6268.13,60.88
I00435,O00299,P0156,4,9951.89,80.36
I00436,O00106,P0332,3,1485.91,84.2
I00437,O00943,P0110,2,3159.19,70.9
I00438,O00718,P0129,5,9639.68,73.77
I00439,O00035,P0193,5,5530.22,24.27
I00440,O00500,P0147,5,6167.14,19.7
I00441,O00676,P0101,1,6067.4,22.79
I00442,O00849,P0380,2,8211.77,55.69
I00443,O00678,P0439,4,4866.01,12.28
I00444,O00594,P0103,3,2776.58,57.73
I00445,O00957,P0125,2,5077.14,67.85
I00446,O00837,P0441,4,8854.9,80.58
I00447,O00735,P0447,4,6547.99,24.02
I00448,O00092,P0214,3,6099.54,64.68
I00449,O00470,P0108,1,7447.33,92.35
I00450,O00080,P0359,2,2092.54,18.5
I00451,O00316,P0087,3,1882.51,33.58
I00452,O00244,P0137,2,6971.37,50.52
I00453,O00060,P0473,3,2128.38,77.14
I00454,O00555,P0332,1,1963.91,82.17
I00455,O00941,P0400,2,1696.07,50.41
I00456,O00995,P0177,2,4800.23,76.0
I00457,O00934,P0124,4,4675.86,94.88
I00458,O00483,P0380,1,4744.24,65.69
I00459,O00684,P0115,4,4857.25,78.18
I00460,O00108,P0106,1,6750.67,88.32
I00461,O00429,P0325,2,4719.26,44.89
I00462,O00819,P0472,-3,2577.73,72.37
I00463,O00770,P0032,5,6738.99,21.79
I00464,O00297,P0344,5,6823.07,17.59
I00465,O00092,P0470,5,7571.66,47.28
I00466,O00327,P0071,1,469.82,17.93
I00467,O00523,P0393,3,7834.52,87.44
I00468,O00499,P0140,5,7434.98,87.65
I00469,O00788,P0476,4,1365.43,68.06
I00470,O00045,P0177,3,2034.01,46.94
I00471,O00743,P0349,4,8537.49,25.54
I00472,O00485,P0355,3,6066.59,37.24
I00473,O00853,P0200,4,9367.88,38.01
I00474,O00358,P0100,4,2242.58,41.77
I00475,O00746,P0316,1,9440.41,71.71
I00476,O00485,P0310,2,8687.39,98.09
I00477,O00304,P0493,4,5475.46,44.25
I00478,O00476,P0160,2,5715.55,6.4
I00479,O00587,P0330,5,1303.31,30.88
I00480,O00141,P0214,5,6241.1,44.67
I00481,O00359,P0033,1,3854.05,20.77
I00482,O00027,P0446,3,4966.81,2.74
I00483,O00720,P0167,2,6188.48,33.0
I00484,O00352,P0346,3,9972.31,46.1
I00485,O00820,P0448,1,9220.32,57.24
I00486,O00173,P0362,2,8215.31,36.51
I00487,O00185,P0303,5,5131.01,28.87
I00488,O00486,P0166,4,5214.45,18.65
I00489,O00262,P0176,5,3233.6,42.98
I00490,O00209,P0274,4,5620.34,18.13
I00491,O00048,P0148,4,3233.17,38.32
I00492,O00383,P0417,1,763.32,61.74
I00493,O00459,P0441,1,949.39,10.46
I00494,O00263,P0332,5,7400.25,55.21
I00495,O00990,P0433,-4,4808.67,76.06
I00496,O00836,P0176,1,1762.61,92.58
I00497,O00764,P0042,2,396.84,44.36
I00498,O00537,P0193,5,7649.37,28.42
I00499,O00871,P0044,1,2534.46,17.97
I00500,O00491,P0010,4,3668.34,58.13
I00501,O00591,P0009,2,1575.71,36.2
I00502,O00304,P0007,2,4335.09,32.74
I00503,O00608,P0430,5,7395.21,14.16
I00504,O00962,P0200,5,6650.05,61.93
I00505,O00117,P0088,3,7941.4,63.31
I00506,O00780,P0191,5,4282.97,73.24
I00507,O00252,P0063,2,974.46,7.56
I00508,O00413,P0074,1,8017.83,46.33
I00509,O00451,P0153,5,1760.12,40.32
I00510,O00873,P0322,3,9932.75,10.3
I00511,O00305,P0093,2,5899.85,42.58
I00512,O00019,P0275,1,5528.91,51.39
I00513,O00287,P0300,4,232.61,60.75
I00514,O00145,P0281,1,5759.38,24.0
I00515,O00196,P0420,4,237.6,21.69
I00516,O00151,P0437,3,4036.36,28.96
I00517,O00911,P0115,2,6834.05,35.01
I00518,O00282,P0161,3,9977.19,56.8
I00519,O00931,P0029,5,6479.5,60.28
I00520,O00705,P0051,1,8206.34,57.72
I00521,O00998,P0058,5,2985.56,97.33
I00522,O00876,P0136,3,1844.88,48.95
I00523,O00887,P0033,5,9570.21,61.17
I00524,O00173,P0402,4,1028.67,13.62
I00525,O00518,P0010,1,451.02,77.46
I00526,O00139,P0151,5,7055.8,29.46
I00527,O00420,P0485,2,4504.89,40.99
I00528,O00568,P0202,-1,9827.06,28.01
I00529,O00977,P0002,1,9807.66,27.1
I00530,O00755,P0058,5,5418.22,80.06
I00531,O00353,P0202,5,4212.79,90.97
I00532,O00875,P0484,1,3751.36,55.24
I00533,O00837,P0391,5,2351.67,31.34
I00534,O00738,P0176,4,3506.99,81.93
I00535,O00416,P0154,5,8086.56,17.56
I00536,O00093,P0395,2,3712.54,2.21
I00537,O00685,P0199,1,9893.15,4.88
I00538,O00002,P0464,4,2723.41,86.25
I00539,O00784,P0430,4,9070.64,45.27
I00540,O00942,P0204,1,2634.31,60.88
I00541,O00330,P0335,1,6454.44,84.29
I00542,O00675,P0142,5,7153.73,45.32
I00543,O00523,P0118,5,4345.57,20.0
I00544,O00327,P0121,3,2692.54,2.13
I00545,O00231,P0435,4,4815.43,48.12
I00546,O00197,P0167,1,8582.43,13.36
I00547,O00388,P0360,3,9593.12,21.33
I00548,O00955,P0304,1,6191.64,82.83
I00549,O00245,P0413,4,3026.96,12.41
I00550,O00647,P0279,1,8916.73,23.55
I00551,O00973,P0365,1,791.31,14.05
I00552,O00407,P0092,3,4495.07,56.77
I00553,O00831,P0091,4,9724.64,17.18
I00554,O00949,P0363,4,8822.5,38.62
I00555,O00891,P0178,1,1295.86,66.76
I00556,O00733,P0347,1,5933.4,60.89
I00557,O00289,P0480,1,649.42,60.63
I00558,O00534,P0032,1,1847.27,76.69
I00559,O00392,P0198,5,3601.89,38.26
I00560,O00109,P0027,2,7581.67,97.67
I00561,O00540,P0143,-4,2464.12,6.53
I00562,O00835,P0263,1,2457.9,50.2
I00563,O00864,P0086,1,5344.27,58.27
I00564,O00856,P0033,4,8451.31,48.91
I00565,O00098,P0019,5,6836.55,24.52
I00566,O00709,P0442,2,6815.17,32.33
I00567,O00394,P0443,2,8848.03,80.96
I00568,O00214,P0470,5,3366.26,66.76
I00569,O00795,P0338,4,7355.11,12.29
I00570,O00277,P0395,5,8018.1,81.72
I00571,O00775,P0176,2,397.69,51.07
I00572,O00634,P0232,1,9907.49,75.32
I00573,O00338,P0163,4,6300.85,97.35
I00574,O00406,P0019,1,401.13,50.05
I00575,O00249,P0197,4,1782.81,1.31
I00576,O00135,P0388,4,4239.93,55.82
I00577,O00019,P0243,5,1911.69,28.17
I00578,O00922,P0069,1,3602.31,10.82
I00579,O00795,P0325,4,4511.16,85.53
I00580,O00754,P0284,2,7510.76,96.78
I00581,O00857,P0132,4,643.82,70.35
I00582,O00286,P0173,4,9923.39,86.43
I00583,O00358,P0102,3,5556.38,15.09
I00584,O00655,P0173,3,4807.23,18.0
I00585,O00928,P0263,3,6431.98,51.45
I00586,O00547,P0285,3,6775.81,96.7
I00587,O00215,P0386,1,6918.38,6.42
I00588,O00148,P0265,5,3389.14,47.33
I00589,O00099,P0169,3,9855.19,74.42
I00590,O00337,P0267,3,4785.59,67.28
I00591,O00080,P0336,3,7301.78,15.89
I00592,O00971,P0004,3,1840.44,23.71
I00593,O00841,P0191,3,6767.48,74.86
I00594,O00895,P0156,-3,5073.19,58.59
I00595,O00684,P0325,5,3459.45,64.29
I00596,O00574,P0078,2,7991.68,67.85
I00597,O00587,P0381,5,4122.4,28.65
I00598,O00730,P0262,5,4790.65,0.43
I00599,O00304,P0440,2,8485.29,6.98
I00600,O00435,P0368,1,7739.04,4.32
I00601,O00710,P0353,4,6731.38,79.52
I00602,O00671,P0128,2,9630.39,42.39
I00603,O00493,P0191,3,220.2,96.44
I00604,O00077,P0110,2,1338.12,26.87
I00605,O00591,P0298,5,6573.57,67.54
I00606,O00913,P0195,4,4817.72,78.09
I00607,O00787,P0264,1,3502.9,78.13
