order_id,customer_id,order_date,status,region_code
O00035,C0304,2025-08-17 09:05:58,CANCELLED,SOUTH
O00036,C0124,2026-07-10 07:33:58,DELIVERED,NORTH
O00037,C0295,2026-01-03 00:59:58,PLACED,SOUTH
O00038,C0178,2025-09-17 07:12:58,SHIPPED,NORTH
O00039,C0401,2025-10-28 10:43:58,RETURNED,EAST
O00040,,2025-10-03 01:23:58,CANCELLED,SOUTH
O00041,C0133,2025-11-20 06:44:58,PLACED,WEST
O00042,C0470,2025-07-10 19:58:58,DELIVERED,EAST
O00043,C0499,2025-08-22 22:23:58,CANCELLED,WEST
O00044,C0325,2026-01-11 11:04:58,PLACED,EAST
O00045,C0220,2025-05-23 15:57:58,PLACED,SOUTH
O00046,C0399,2026-03-20 13:19:58,RETURNED,EAST
O00047,C0424,2025-08-25 17:56:58,DELIVERED,NORTH
O00048,C0495,2025-10-02 23:49:58,DELIVERED,WEST
O00049,C0429,2026-03-26 11:46:58,SHIPPED,SOUTH
O00050,C0247,2026-03-21 08:49:58,SHIPPED,SOUTH
O00051,C0461,2025-06-11 19:49:58,PLACED,EAST
O00052,C0180,2026-07-02 12:01:58,SHIPPED,SOUTH
O00053,C0299,2025-09-06 03:03:58,PLACED,WEST
O00054,C0090,2026-03-15 10:17:58,DELIVERED,NORTH
O00055,C0222,2026-02-01 22:07:58,SHIPPED,SOUTH
O00056,C0392,2026-04-16 04:48:58,CANCELLED,NORTH
O00057,C0276,2026-01-26 00:47:58,SHIPPED,WEST
O00058,C0094,2026-03-08 19:26:58,RETURNED,NORTH
O00059,C0256,2026-03-05 18:43:58,SHIPPED,EAST
O00060,,2026-07-19 19:39:58,DELIVERED,EAST
O00061,C0133,2025-08-31 09:49:58,PLACED,EAST
O00062,C0173,2025-08-14 21:02:58,RETURNED,SOUTH
O00063,C0149,2026-01-23 06:01:58,SHIPPED,EAST
O00064,C0106,2026-03-09 10:55:58,DELIVERED,NORTH
O00065,C0487,2025-06-21 09:41:58,SHIPPED,EAST
O00066,C0028,2025-10-19 17:57:58,DELIVERED,WEST
O00067,C0293,2026-07-12 09:15:58,CANCELLED,SOUTH
O00068,C0448,2026-04-08 15:05:58,RETURNED,EAST
O00069,C0100,2025-07-02 07:54:58,CANCELLED,WEST
O00070,C0076,2025-10-27 13:24:58,CANCELLED,EAST
O00071,C0497,2026-03-14 23:27:58,CANCELLED,SOUTH
O00072,C0348,2025-11-16 04:02:58,RETURNED,EAST
O00073,C0304,2025-06-19 13:44:58,SHIPPED,NORTH
O00074,C0298,2025-09-12 12:13:58,RETURNED,NORTH
O00075,C0418,2025-09-22 10:25:58,PLACED,NORTH
O00076,C0321,2026-07-29 06:24:58,SHIPPED,EAST
O00077,C0039,2025-05-21 21:48:58,PLACED,SOUTH
O00078,C0437,2025-11-18 14:33:58,RETURNED,EAST
O00079,C0378,2026-08-07 10:00:58,SHIPPED,SOUTH
O00080,,2026-07-04 07:39:58,RETURNED,NORTH
O00081,C0355,2025-12-24 21:34:58,DELIVERED,NORTH
O00082,C0464,2026-07-15 18:10:58,RETURNED,EAST
O00083,C0184,2026-01-09 06:19:58,DELIVERED,WEST
O00084,C0411,2026-01-23 00:07:58,PLACED,SOUTH
O00085,C0489,2026-06-29 09:30:58,PLACED,EAST
O00086,C0269,2025-08-12 06:19:58,DELIVERED,EAST
O00087,C0490,2026-02-21 06:16:58,RETURNED,SOUTH
O00088,C0200,2025-12-09 06:54:58,SHIPPED,SOUTH
O00089,C0444,2025-10-10 11:07:58,RETURNED,NORTH
O00090,C0448,2026-06-15 14:16:58,CANCELLED,EAST
O00091,C0468,2025-08-03 11:36:58,DELIVERED,WEST
O00092,C0460,2026-02-03 05:30:58,SHIPPED,EAST
O00093,C0111,2026-04-01 10:05:58,RETURNED,SOUTH
O00094,C0350,2026-04-02 04:03:58,CANCELLED,NORTH
O00095,C0377,2026-08-01 12:44:58,PLACED,WEST
O00096,C0225,2025-08-03 23:31:58,SHIPPED,EAST
O00097,C0172,2025-08-14 16:46:58,DELIVERED,WEST
O00098,C0071,2025-09-23 17:03:58,PLACED,WEST
O00099,C0300,2026-07-25 17:15:58,SHIPPED,EAST
O00100,,,RETURNED,WEST
O00101,C0347,2026-07-20 14:34:58,PLACED,NORTH
O00102,C0173,2025-10-13 19:35:58,RETURNED,WEST
O00103,C0316,2025-09-23 15:44:58,SHIPPED,EAST
O00104,C0178,2026-03-05 22:05:58,PLACED,SOUTH
O00105,C0019,2026-08-04 23:48:58,SHIPPED,WEST
O00106,C0005,2025-08-22 02:00:58,DELIVERED,SOUTH
O00107,C0353,2025-05-21 00:21:58,RETURNED,NORTH
O00108,C0218,2025-10-03 10:43:58,SHIPPED,SOUTH
O00109,C0004,2025-12-09 12:34:58,SHIPPED,WEST
O00110,C0436,2026-04-26 19:59:58,DELIVERED,EAST
O00111,C0311,2025-06-06 17:03:58,CANCELLED,WEST
O00112,C0381,2025-12-12 22:10:58,PLACED,SOUTH
O00113,C0284,2025-09-28 11:17:58,SHIPPED,NORTH
O00114,C0326,2025-05-20 15:39:58,PLACED,SOUTH
O00115,C0362,2025-06-15 10:58:58,DELIVERED,NORTH
O00116,C0060,2025-06-18 21:23:58,SHIPPED,EAST
O00117,C0268,2026-04-21 21:56:58,CANCELLED,NORTH
O00118,C0432,2026-08-04 20:48:58,SHIPPED,SOUTH
O00119,C0449,2026-03-12 13:10:58,PLACED,WEST
O00120,,2026-04-01 19:48:58,CANCELLED,WEST
O00121,C0481,2025-12-21 20:58:58,SHIPPED,SOUTH
O00122,C0266,2026-05-03 12:09:58,RETURNED,EAST
O00123,C0317,2026-05-22 05:52:58,DELIVERED,EAST
O00124,C0423,2025-10-24 03:32:58,CANCELLED,EAST
O00125,C0179,2026-01-08 15:51:58,RETURNED,WEST
O00126,C0457,2025-07-17 16:43:58,SHIPPED,WEST
O00127,C0233,2025-06-30 08:21:58,RETURNED,NORTH
O00128,C0397,2025-08-01 00:25:58,RETURNED,NORTH
O00129,C0341,2025-09-10 21:45:58,DELIVERED,EAST
O00130,C0315,2026-07-19 18:15:58,SHIPPED,EAST
O00131,C0217,2026-07-12 14:19:58,SHIPPED,WEST
O00132,C0125,2025-11-17 08:23:58,PLACED,EAST
O00133,C0336,2026-07-17 10:04:58,RETURNED,NORTH
O00134,C0132,2026-03-09 03:47:58,SHIPPED,WEST
O00135,C0354,2025-07-24 04:36:58,PLACED,NORTH
O00136,C0225,2025-08-07 17:52:58,CANCELLED,WEST
O00137,C0200,2026-01-15 17:07:58,CANCELLED,SOUTH
O00138,C0242,2026-04-02 11:19:58,DELIVERED,EAST
O00139,C0324,2026-04-16 11:48:58,DELIVERED,SOUTH
O00140,,2026-06-04 09:19:58,PLACED,SOUTH
O00141,C0093,2026-08-03 12:22:58,RETURNED,SOUTH
O00142,C0411,2026-06-27 23:10:58,CANCELLED,EAST
O00143,C0146,2026-05-03 07:26:58,CANCELLED,SOUTH
O00144,C0459,2025-08-09 07:17:58,RETURNED,NORTH
O00145,C0101,2026-02-12 01:11:58,PLACED,WEST
O00146,C0250,2025-08-27 11:41:58,SHIPPED,EAST
O00147,C0457,2025-07-26 21:18:58,RETURNED,EAST
O00148,C0290,2025-11-01 14:13:58,SHIPPED,SOUTH
O00149,C0168,2025-07-20 13:42:58,CANCELLED,NORTH
O00150,C0069,2025-12-31 05:11:58,DELIVERED,SOUTH
O00151,C0271,2025-10-12 13:17:58,RETURNED,SOUTH
O00152,C0146,2026-03-06 23:20:58,DELIVERED,NORTH
O00153,C0441,2026-03-15 22:16:58,DELIVERED,WEST
O00154,C0019,2025-07-18 00:39:58,CANCELLED,EAST
O00155,C0150,2026-02-15 04:57:58,PLACED,WEST
O00156,C0498,2025-07-12 19:00:58,CANCELLED,NORTH
O00157,C0270,2025-10-08 14:34:58,SHIPPED,SOUTH
O00158,C0308,2025-09-18 07:47:58,CANCELLED,EAST
O00159,C0410,2026-03-02 08:28:58,RETURNED,EAST
O00160,,2026-07-15 03:22:58,RETURNED,SOUTH
O00161,C0457,2025-06-01 03:37:58,RETURNED,SOUTH
O00162,C0453,2026-01-24 13:36:58,SHIPPED,SOUTH
O00163,C0318,2025-07-20 22:51:58,CANCELLED,EAST
O00164,C0137,2026-04-27 00:50:58,PLACED,NORTH
O00165,C0357,2025-06-23 21:53:58,PLACED,EAST
O00166,C0308,2026-04-11 22:13:58,SHIPPED,NORTH
O00167,C0416,2025-06-20 20:46:58,CANCELLED,EAST
O00168,C0335,2026-01-17 00:19:58,DELIVERED,WEST
O00169,C0118,2026-06-18 22:35:58,SHIPPED,WEST
O00170,C0353,2025-06-24 17:21:58,SHIPPED,NORTH
O00171,C0397,2026-04-23 21:39:58,CANCELLED,EAST
O00172,C0163,2026-07-17 01:32:58,PLACED,NORTH
O00173,C0228,2025-08-20 23:25:58,SHIPPED,EAST
O00174,C0164,2025-06-10 19:07:58,CANCELLED,WEST
O00175,C0174,2026-04-05 18:05:58,CANCELLED,NORTH
O00176,C0453,2025-07-28 18:25:58,SHIPPED,EAST
O00177,C0174,2026-03-10 06:40:58,DELIVERED,EAST
O00178,C0401,2026-07-20 01:19:58,CANCELLED,EAST
O00179,C0040,2026-01-01 01:40:58,RETURNED,SOUTH
O00180,,2025-08-23 03:39:58,CANCELLED,WEST
O00181,C0424,2026-05-24 14:00:58,DELIVERED,NORTH
O00182,C0223,2026-07-09 13:13:58,SHIPPED,NORTH
O00183,C0277,2026-04-23 11:14:58,DELIVERED,SOUTH
O00184,C0486,2026-05-14 19:41:58,SHIPPED,SOUTH
O00185,C0348,2026-05-08 01:48:58,DELIVERED,SOUTH
O00186,C0416,2026-04-26 02:24:58,PLACED,WEST
O00187,C0021,2026-05-29 20:16:58,RETURNED,EAST
O00188,C0061,2026-02-01 21:31:58,DELIVERED,SOUTH
O00189,C0010,2025-11-08 03:26:58,RETURNED,WEST
O00190,C0042,2025-10-15 04:03:58,SHIPPED,SOUTH
O00191,C0216,2026-01-26 06:01:58,CANCELLED,SOUTH
O00192,C0213,2025-11-07 23:34:58,SHIPPED,SOUTH
O00193,C0196,2025-07-10 01:53:58,CANCELLED,NORTH
O00194,C0367,2025-11-01 10:22:58,PLACED,EAST
O00195,C0010,2025-11-28 20:51:58,SHIPPED,WEST
O00196,C0228,2025-10-30 21:22:58,CANCELLED,NORTH
O00197,C0436,2025-11-05 03:12:58,DELIVERED,SOUTH
O00198,C0120,2025-05-16 23:41:58,DELIVERED,WEST
O00199,C0263,2025-11-02 18:05:58,DELIVERED,SOUTH
O00200,,,PLACED,SOUTH
O00201,C0368,2025-11-04 03:51:58,PLACED,SOUTH
O00202,C0247,2026-02-17 07:04:58,DELIVERED,SOUTH
O00203,C0237,2025-07-11 08:11:58,RETURNED,NORTH
O00204,C0220,2026-03-30 06:19:58,PLACED,NORTH
O00205,C0124,2025-09-29 07:02:58,RETURNED,EAST
O00206,C0301,2025-12-21 21:26:58,PLACED,SOUTH
O00207,C0322,2026-02-08 07:44:58,PLACED,NORTH
O00208,C0234,2025-10-03 22:03:58,RETURNED,SOUTH
O00209,C0012,2025-11-12 16:41:58,SHIPPED,SOUTH
O00210,C0418,2025-08-10 06:23:58,RETURNED,WEST
O00211,C0350,2025-05-27 23:15:58,SHIPPED,WEST
O00212,C0145,2025-09-18 18:21:58,RETURNED,WEST
O00213,C0266,2025-09-16 19:25:58,DELIVERED,NORTH
O00214,C0176,2026-06-16 19:15:58,DELIVERED,WEST
O00215,C0444,2026-04-04 03:18:58,PLACED,EAST
O00216,C0069,2025-12-22 13:17:58,CANCELLED,NORTH
O00217,C0493,2025-10-07 16:16:58,PLACED,SOUTH
O00218,C0416,2026-01-17 11:54:58,RETURNED,WEST
O00219,C0145,2026-02-20 13:35:58,PLACED,EAST
O00220,,2025-12-23 03:25:58,PLACED,EAST
O00221,C0359,2026-06-14 14:37:58,DELIVERED,SOUTH
O00222,C0261,2026-07-04 09:54:58,RETURNED,EAST
O00223,C0312,2025-06-10 00:25:58,SHIPPED,WEST
O00224,C0140,2026-07-29 16:05:58,PLACED,EAST
O00225,C0089,2026-06-04 22:54:58,CANCELLED,NORTH
O00226,C0402,2025-09-01 13:10:58,DELIVERED,SOUTH
O00227,C0332,2025-10-12 07:13:58,PLACED,NORTH
O00228,C0004,2025-11-06 10:35:58,RETURNED,WEST
O00229,C0261,2026-02-21 10:50:58,PLACED,WEST
O00230,C0338,2026-02-06 16:31:58,RETURNED,EAST
O00231,C0363,2026-07-24 08:46:58,PLACED,WEST
O00232,C0499,2025-08-16 12:52:58,SHIPPED,WEST
O00233,C0292,2025-10-10 22:05:58,PLACED,SOUTH
O00234,C0165,2026-01-09 17:36:58,RETURNED,EAST
O00235,C0435,2026-05-05 02:03:58,DELIVERED,WEST
O00236,C0151,2026-03-11 18:45:58,DELIVERED,NORTH
O00237,C0112,2026-07-23 20:39:58,PLACED,SOUTH
O00238,C0246,2026-07-18 17:45:58,CANCELLED,WEST
O00239,C0010,2025-10-25 21:39:58,SHIPPED,WEST
O00240,,2025-08-17 00:14:58,SHIPPED,NORTH
O00241,C0067,2025-07-06 18:51:58,CANCELLED,NORTH
O00242,C0116,2025-05-28 18:39:58,PLACED,WEST
O00243,C0092,2026-07-27 03:51:58,DELIVERED,SOUTH
O00244,C0265,2026-07-01 20:16:58,PLACED,NORTH
O00245,C0015,2025-08-05 04:36:58,CANCELLED,SOUTH
O00246,C0147,2025-07-14 03:04:58,DELIVERED,NORTH
O00247,C0315,2025-05-21 17:17:58,RETURNED,EAST
O00248,C0394,2026-02-21 04:07:58,PLACED,WEST
O00249,C0318,2025-10-03 16:52:58,SHIPPED,SOUTH
O00250,C0289,2025-07-19 05:48:58,CANCELLED,NORTH
O00251,C0397,2025-11-30 09:11:58,DELIVERED,NORTH
O00252,C0232,2025-11-18 03:24:58,SHIPPED,NORTH
O00253,C0117,2025-10-09 10:03:58,CANCELLED,SOUTH
O00254,C0447,2026-01-08 00:03:58,SHIPPED,SOUTH
O00255,C0302,2025-06-10 09:29:58,CANCELLED,WEST
O00256,C0448,2025-09-01 14:18:58,PLACED,WEST
O00257,C0100,2026-05-03 17:37:58,PLACED,EAST
O00258,C0170,2026-07-18 20:03:58,PLACED,SOUTH
O00259,C0491,2025-09-25 21:49:58,DELIVERED,NORTH
O00260,,2025-07-05 00:26:58,CANCELLED,EAST
O00261,C0047,2026-02-16 18:06:58,PLACED,EAST
O00262,C0303,2025-11-15 05:42:58,PLACED,WEST
O00263,C0278,2026-01-24 12:08:58,SHIPPED,EAST
O00264,C0439,2026-02-15 20:50:58,RETURNED,WEST
O00265,C0323,2026-04-12 03:34:58,RETURNED,EAST
O00266,C0292,2026-04-27 08:21:58,CANCELLED,SOUTH
O00267,C0140,2025-10-05 21:17:58,SHIPPED,WEST
O00268,C0249,2026-05-30 19:46:58,PLACED,EAST
O00269,C0264,2025-11-09 21:11:58,DELIVERED,NORTH
O00270,C0407,2025-12-11 15:18:58,RETURNED,WEST
O00271,C0460,2026-04-03 04:49:58,RETURNED,EAST
O00272,C0152,2025-10-20 00:33:58,DELIVERED,WEST
O00273,C0358,2026-03-03 19:15:58,CANCELLED,SOUTH
O00274,C0156,2026-02-18 03:57:58,CANCELLED,EAST
O00275,C0259,2025-09-30 17:42:58,SHIPPED,SOUTH
O00276,C0120,2026-02-01 03:50:58,DELIVERED,EAST
O00277,C0109,2025-07-05 05:29:58,CANCELLED,EAST
O00278,C0105,2026-04-02 09:59:58,DELIVERED,WEST
O00279,C0418,2025-09-25 05:19:58,CANCELLED,SOUTH
O00280,,2025-12-10 14:23:58,PLACED,NORTH
O00281,C0162,2026-01-25 18:57:58,DELIVERED,EAST
O00282,C0453,2025-08-04 07:23:58,PLACED,EAST
O00283,C0177,2025-11-10 19:17:58,DELIVERED,SOUTH
O00284,C0371,2025-11-24 21:29:58,CANCELLED,NORTH
O00285,C0093,2026-04-23 13:28:58,DELIVERED,NORTH
O00286,C0298,2025-05-15 23:11:58,CANCELLED,EAST
O00287,C0244,2026-07-07 12:16:58,CANCELLED,SOUTH
O00288,C0332,2025-06-14 12:45:58,RETURNED,WEST
O00289,C0135,2026-05-06 09:26:58,DELIVERED,EAST
O00290,C0412,2025-10-27 11:26:58,SHIPPED,WEST
O00291,C0196,2026-07-20 22:59:58,SHIPPED,EAST
O00292,C0020,2025-11-07 12:01:58,DELIVERED,SOUTH
O00293,C0227,2025-08-02 13:07:58,DELIVERED,SOUTH
O00294,C0314,2025-06-19 06:51:58,SHIPPED,WEST
O00295,C0438,2025-08-18 07:07:58,PLACED,NORTH
O00296,C0382,2025-12-13 22:26:58,CANCELLED,WEST
O00297,C0435,2026-05-23 23:12:58,CANCELLED,SOUTH
O00298,C0351,2026-05-28 23:01:58,PLACED,NORTH
O00299,C0054,2026-02-01 00:54:58,CANCELLED,WEST
O00300,,,CANCELLED,EAST
O00301,C0108,2025-07-12 02:11:58,SHIPPED,WEST
O00302,C0283,2026-01-07 16:41:58,SHIPPED,SOUTH
O00303,C0009,2025-07-10 19:35:58,SHIPPED,WEST
O00304,C0032,2026-04-09 15:10:58,SHIPPED,NORTH
O00305,C0288,2026-06-03 11:52:58,DELIVERED,SOUTH
O00306,C0207,2026-05-06 06:36:58,SHIPPED,WEST
O00307,C0280,2025-07-01 19:37:58,DELIVERED,EAST
O00308,C0041,2026-05-17 18:59:58,PLACED,EAST
O00309,C0161,2026-04-09 19:08:58,RETURNED,EAST
O00310,C0190,2026-02-07 02:10:58,PLACED,SOUTH
O00311,C0491,2025-12-19 01:21:58,RETURNED,SOUTH
O00312,C0378,2026-05-20 04:51:58,DELIVERED,WEST
O00313,C0040,2026-04-26 08:55:58,RETURNED,WEST
O00314,C0372,2025-12-26 16:18:58,PLACED,SOUTH
O00315,C0268,2026-03-22 06:05:58,RETURNED,NORTH
O00316,C0128,2026-03-07 01:13:58,CANCELLED,WEST
O00317,C0224,2026-01-16 12:31:58,PLACED,WEST
O00318,C0006,2025-11-06 19:45:58,SHIPPED,EAST
O00319,C0027,2025-10-22 17:42:58,PLACED,NORTH
O00320,,2026-01-14 05:39:58,DELIVERED,EAST
O00321,C0120,2025-11-28 17:20:58,CANCELLED,WEST
O00322,C0500,2025-08-27 16:12:58,DELIVERED,SOUTH
O00323,C0367,2026-03-28 16:01:58,CANCELLED,NORTH
O00324,C0272,2025-07-13 00:10:58,SHIPPED,SOUTH
O00325,C0233,2025-10-23 21:58:58,RETURNED,SOUTH
O00326,C0369,2026-07-05 03:00:58,RETURNED,WEST
O00327,C0174,2026-06-15 18:51:58,CANCELLED,EAST
O00328,C0239,2026-03-24 03:35:58,RETURNED,NORTH
O00329,C0327,2025-10-01 18:54:58,PLACED,NORTH
O00330,C0064,2025-12-25 20:49:58,RETURNED,NORTH
O00331,C0173,2025-05-21 05:52:58,PLACED,NORTH
O00332,C0500,2026-03-05 23:59:58,SHIPPED,NORTH
O00333,C0388,2025-07-22 22:04:58,CANCELLED,EAST
O00334,C0272,2026-03-15 14:17:58,SHIPPED,WEST
O00335,C0261,2026-02-14 12:00:58,PLACED,SOUTH
O00336,C0114,2025-12-10 15:29:58,CANCELLED,NORTH
O00337,C0437,2026-02-06 13:14:58,DELIVERED,SOUTH
O00338,C0053,2025-07-08 23:31:58,CANCELLED,NORTH
O00339,C0294,2025-12-14 23:41:58,SHIPPED,WEST
O00340,,2025-12-29 21:27:58,DELIVERED,SOUTH
O00341,C0335,2026-03-22 15:12:58,DELIVERED,NORTH
O00342,C0306,2026-01-08 23:16:58,DELIVERED,EAST
O00343,C0259,2025-07-23 04:19:58,DELIVERED,WEST
O00344,C0447,2025-06-30 02:49:58,SHIPPED,NORTH
O00345,C0055,2025-07-14 20:39:58,DELIVERED,NORTH
O00346,C0470,2025-08-08 01:45:58,SHIPPED,WEST
O00347,C0238,2026-02-08 14:18:58,PLACED,EAST
O00348,C0094,2026-05-24 19:44:58,DELIVERED,SOUTH
O00349,C0434,2025-10-23 07:20:58,SHIPPED,NORTH
O00350,C0073,2026-04-04 01:24:58,PLACED,WEST
O00351,C0204,2025-10-30 03:04:58,PLACED,EAST
O00352,C0436,2026-04-07 11:43:58,DELIVERED,EAST
O00353,C0223,2025-06-23 09:46:58,PLACED,NORTH
O00354,C0351,2025-11-26 21:44:58,RETURNED,EAST
O00355,C0373,2026-07-25 02:13:58,DELIVERED,WEST
O00356,C0416,2026-01-12 09:56:58,CANCELLED,EAST
O00357,C0403,2026-03-05 19:30:58,PLACED,SOUTH
O00358,C0038,2025-12-31 13:56:58,RETURNED,WEST
O00359,C0389,2026-02-06 00:36:58,RETURNED,NORTH
O00360,,2026-06-20 06:22:58,RETURNED,NORTH
O00361,C0436,2025-09-10 08:35:58,CANCELLED,EAST
O00362,C0471,2026-07-27 21:40:58,SHIPPED,WEST
O00363,C0325,2025-11-11 13:09:58,RETURNED,EAST
O00364,C0052,2026-06-04 22:55:58,DELIVERED,EAST
O00365,C0371,2025-06-24 04:06:58,PLACED,WEST
O00366,C0336,2026-03-09 13:51:58,RETURNED,SOUTH
O00367,C0141,2026-05-01 08:51:58,RETURNED,WEST
O00368,C0388,2026-05-18 12:24:58,CANCELLED,WEST
O00369,C0400,2025-10-27 20:27:58,SHIPPED,WEST
O00370,C0354,2025-11-13 09:11:58,DELIVERED,EAST
O00371,C0409,2026-08-02 16:01:58,CANCELLED,EAST
O00372,C0247,2026-04-06 03:46:58,DELIVERED,NORTH
O00373,C0475,2026-03-29 06:04:58,PLACED,WEST
O00374,C0458,2026-06-30 15:53:58,PLACED,NORTH
O00375,C0446,2026-04-27 17:05:58,CANCELLED,NORTH
O00376,C0257,2025-06-28 23:39:58,DELIVERED,WEST
O00377,C0185,2025-05-26 19:22:58,CANCELLED,WEST
O00378,C0271,2025-11-27 16:20:58,CANCELLED,NORTH
O00379,C0469,2026-01-07 04:44:58,PLACED,WEST
O00380,,2025-07-24 21:50:58,RETURNED,WEST
O00381,C0161,2026-05-18 06:47:58,RETURNED,NORTH
O00382,C0436,2026-01-08 19:02:58,PLACED,EAST
O00383,C0485,2025-07-31 20:03:58,DELIVERED,SOUTH
O00384,C0451,2026-05-18 08:16:58,PLACED,NORTH
O00385,C0204,2026-02-26 10:45:58,CANCELLED,EAST
O00386,C0200,2026-06-10 22:24:58,DELIVERED,WEST
O00387,C0061,2025-10-16 15:56:58,DELIVERED,SOUTH
O00388,C0473,2025-09-25 08:44:58,RETURNED,WEST
O00389,C0060,2025-05-16 19:54:58,DELIVERED,WEST
O00390,C0337,2025-07-23 13:04:58,DELIVERED,WEST
O00391,C0284,2026-01-25 17:27:58,SHIPPED,WEST
O00392,C0323,2026-06-22 09:41:58,CANCELLED,SOUTH
O00393,C0348,2025-12-18 15:35:58,SHIPPED,WEST
O00394,C0464,2025-06-16 19:35:58,RETURNED,WEST
O00395,C0462,2025-08-08 19:23:58,RETURNED,NORTH
O00396,C0399,2026-02-09 11:47:58,DELIVERED,SOUTH
O00397,C0393,2025-10-22 18:32:58,DELIVERED,SOUTH
O00398,C0199,2026-03-20 07:11:58,RETURNED,SOUTH
O00399,C0493,2026-07-16 06:05:58,RETURNED,NORTH
O00400,,,PLACED,EAST
O00401,C0168,2025-08-09 20:17:58,PLACED,NORTH
O00402,C0002,2026-07-12 11:51:58,RETURNED,WEST
O00403,C0300,2025-12-29 15:23:58,SHIPPED,NORTH
O00404,C0017,2026-02-09 11:32:58,SHIPPED,WEST
O00405,C0339,2026-05-24 19:30:58,DELIVERED,NORTH
O00406,C0160,2026-06-07 23:39:58,CANCELLED,WEST
O00407,C0248,2025-10-04 15:45:58,SHIPPED,NORTH
O00408,C0321,2025-07-11 08:25:58,PLACED,EAST
O00409,C0370,2025-07-30 03:23:58,DELIVERED,NORTH
O00410,C0153,2025-08-26 01:37:58,DELIVERED,WEST
O00411,C0363,2026-02-24 16:54:58,RETURNED,EAST
O00412,C0497,2026-02-22 20:08:58,CANCELLED,NORTH
O00413,C0202,2025-11-13 09:35:58,SHIPPED,SOUTH
O00414,C0262,2026-02-09 18:27:58,SHIPPED,EAST
O00415,C0430,2026-05-25 19:03:58,SHIPPED,NORTH
O00416,C0424,2025-09-04 00:28:58,CANCELLED,WEST
O00417,C0470,2026-01-07 18:27:58,CANCELLED,EAST
O00418,C0135,2025-09-25 07:55:58,PLACED,WEST
O00419,C0410,2025-11-19 22:10:58,PLACED,EAST
O00420,,2025-12-11 15:52:58,DELIVERED,EAST
O00421,C0295,2025-12-14 03:27:58,CANCELLED,WEST
O00422,C0045,2026-08-06 17:34:58,SHIPPED,NORTH
O00423,C0240,2026-02-06 15:01:58,DELIVERED,EAST
O00424,C0037,2025-09-13 14:23:58,RETURNED,NORTH
O00425,C0166,2025-10-18 03:18:58,RETURNED,WEST
O00426,C0087,2026-06-05 12:25:58,CANCELLED,EAST
O00427,C0259,2025-08-31 15:05:58,CANCELLED,EAST
O00428,C0361,2026-07-17 19:29:58,SHIPPED,WEST
O00429,C0333,2025-05-27 18:48:58,SHIPPED,SOUTH
O00430,C0132,2026-04-11 20:32:58,CANCELLED,WEST
O00431,C0494,2026-04-06 12:09:58,RETURNED,EAST
O00432,C0326,2026-04-03 00:12:58,RETURNED,SOUTH
O00433,C0152,2025-06-29 22:11:58,DELIVERED,NORTH
O00434,C0022,2026-04-09 04:47:58,DELIVERED,EAST
O00435,C0247,2026-02-26 15:38:58,RETURNED,NORTH
O00436,C0229,2026-01-19 02:53:58,CANCELLED,SOUTH
O00437,C0134,2025-11-23 23:20:58,PLACED,EAST
O00438,C0276,2026-06-04 08:09:58,DELIVERED,WEST
